,Title,Handle,Vendor,created,product_type,published_at,created_at,updated_at,price,sku,Tags,available,Image Src,Image Position,Body (HTML)
0,Folding Tray Table,folding-tray-table,n/a,2013-10-08T19:16:24+01:00,Furniture,2024-12-13T17:53:37+00:00,2013-10-08T19:16:24+01:00,2024-12-14T08:22:47+00:00,1300.00,PP35/54,"1940s, furniture, home, house, living, livingroom, oak, round, table, tray, wood",True,https://cdn.shopify.com/s/files/1/0276/3427/products/pp35_54.jpg?v=1571438914,1,"<p><span class=""alt-title"">Tray Table</span></p>
<p>This ash table has a removable tray top and a foldable base. It has a soap finish. It is 54cm in diameter and 48cm in height.</p>
<p>It was designed by Hans J. Wegner in 1945 and is now manufactured by PP Møbler.</p>"
1,Tools,tools,Jasper Morrison Shop,2021-10-07T15:17:15+01:00,Books,2024-11-26T12:48:53+00:00,2021-10-07T15:17:15+01:00,2024-12-14T08:22:47+00:00,23.75,9782957876914,"design, magazine, magazines, publication, publications, textile, textiles, tool, weave, weaving",False,https://cdn.shopify.com/s/files/1/0276/3427/files/9782957876938.jpg?v=1732625293,1,"<p>Technique and savoir-faire in art, design, craft, industry. In French and English.</p>
<p> </p>"
2,Tools,tools,Jasper Morrison Shop,2021-10-07T15:17:15+01:00,Books,2024-11-26T12:48:53+00:00,2021-10-07T15:17:15+01:00,2024-12-14T08:22:47+00:00,29.25,9782957876938,"design, magazine, magazines, publication, publications, textile, textiles, tool, weave, weaving",True,https://cdn.shopify.com/s/files/1/0276/3427/files/9782957876938.jpg?v=1732625293,1,"<p>Technique and savoir-faire in art, design, craft, industry. In French and English.</p>
<p> </p>"
3,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
4,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
5,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
6,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
7,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
8,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,30.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
9,Object Lessons,object-lessons,Jasper Morrison Shop,2024-09-12T11:55:19+01:00,Accessories,2024-10-01T10:50:14+01:00,2024-09-12T11:55:19+01:00,2024-12-14T08:22:47+00:00,90.00,,"black, object, objects, paper, poster, posters, print, prints, white",True,https://cdn.shopify.com/s/files/1/0276/3427/files/LimitedEdition-ObjectLessons_1_ce94f0be-ca86-4098-823a-f16e63714c06.jpg?v=1727775494,1,"<p>Prints (A1 size) to accompany Object Lessons, an exhibition by Jasper Morrison in the Jasper Morrison Shop during London Design Festival 2024. The Object Lessons also appear in <em>Archivio</em> magazine, No.10, The Design Issue.</p>
<p>The Limited Edition prints are produced by the Shop in an edition of 30. They are signed by Jasper.</p>"
